 num     #instances         #bytes  class name (module)
 356:            42           4032  com.fasterxml.jackson.databind.DeserializationConfig
 357:           168           4032  java.beans.MethodRef (java.desktop@17.0.13)
 358:            72           4032  java.lang.invoke.BoundMethodHandle$Species_LLLLLLL (java.base@17.0.13)
 359:            63           4032  org.springframework.util.LinkedCaseInsensitiveMap$1
 360:             8           4032  reactor.netty.resources.DefaultLoopResources$EventLoop
 361:           167           4008  com.fasterxml.jackson.databind.util.LRUMap
 362:           167           4008  com.fasterxml.jackson.databind.util.internal.LinkedDeque
 363:           167           4008  java.util.Collections$SingletonList (java.base@17.0.13)
 364:           167           4008  java.util.concurrent.ConcurrentHashMap$KeySetView (java.base@17.0.13)
 365:           124           3968  sun.nio.fs.UnixPath (java.base@17.0.13)
 366:           124           3968  sun.reflect.annotation.AnnotationType (java.base@17.0.13)
 367:            99           3960  java.util.logging.Logger$ConfigurationData (java.logging@17.0.13)
 368:            45           3960  org.apache.kafka.common.network.KafkaChannel
 369:           164           3936  sun.security.util.BitArray (java.base@17.0.13)
 370:           164           3936  sun.security.util.Cache$EqualByteArray (java.base@17.0.13)
 371:           164           3936  sun.security.x509.CertificateValidity (java.base@17.0.13)
